University Code,University Name,Rating,Course Code,Course Name,Fee,Grade,Level,Tag
1,DHA Suffa University,1,1,BS - Computer Science,112900,50,Bachelor,Computer Science
1,DHA Suffa University,1,2,BS - BBA,104150,50,Bachelor,Business Administration
1,DHA Suffa University,1,3,BS - Accounting & Finance,81200,50,Bachelor,Accounting
1,DHA Suffa University,1,4,BS - English,61963,50,Bachelor,English Literature
1,DHA Suffa University,1,5,BS - International Relations,68578,50,Bachelor,International Relations
1,DHA Suffa University,1,6,BS - Psychology,78500,50,Bachelor,Psychology
1,DHA Suffa University,1,7,BS - Electrical Engineering,101900,50,Bachelor,Electrical Engineering
1,DHA Suffa University,1,8,BS - Civil Engineering,109425,50,Bachelor,Civil Engineering
1,DHA Suffa University,1,9,BS - Artifical Intelligence,107530,50,Bachelor,Artificial Intelligence
1,DHA Suffa University,1,10,BS - Software Engineering,118270,50,Bachelor,Software Engineering
1,DHA Suffa University,1,11,BS - Data Science,107530,50,Bachelor,Data Science
1,DHA Suffa University,1,12,BE - Mechanical Engineering,117075,60,Bachelor,Mechanical Engineering
1,DHA Suffa University,1,13,MBA - Business Administration,98550,2,Master,Business
1,DHA Suffa University,1,14,MS - Computer Science,98550,2,Master,Computer Science
1,DHA Suffa University,1,15,MS - Electrical,98550,2,Master,Electrical
1,DHA Suffa University,1,16,MS - Management Sciences,98550,2,Master,Management
1,DHA Suffa University,1,17,MS - Mechanical,98550,2,Master,Mechanical
1,DHA Suffa University,1,18,MS-Psychology,98550,2,Master,Psychology
2,University of Karachi,1,19,BS - Actuarial Sciences & Risk Management,63000,null,Bachelor,Actuarial Science
2,University of Karachi,1,20,BS (HONS) - Agriculture & Agribusiness Management,71000,53.3,Bachelor,Agriculture
2,University of Karachi,1,21,BS (HONS) - Applied Chemistry & Chemical Technology,39000,58.36,Bachelor,Chemistry
2,University of Karachi,1,22,BS - Applied Mathematics,47500,null,Bachelor,Applied Mathematics
2,University of Karachi,1,23,BS (HONS) - Applied Physics,34500,59.27,Bachelor,Applied Physics
2,University of Karachi,1,24,BS - Applied Statistics,34500,null,Bachelor,Applied Statistics
2,University of Karachi,1,25,BS - Arabic,23500,45.18,Bachelor,Arabic
2,University of Karachi,1,26,B.ARCH - Architecture,null,null,Bachelor,Architecture
2,University of Karachi,1,27,BS - Audiology & Speech Pathology,null,null,Bachelor,Audiology
2,University of Karachi,1,28,BS - Bengali,23500,40,Bachelor,Bengali
2,University of Karachi,1,29,BS - Biochemistry,39000,null,Bachelor,Biochemistry
2,University of Karachi,1,30,BS - Biotechnology,39000,74.91,Bachelor,Biotechnology
2,University of Karachi,1,31,BS - Botany,34500,58.82,Bachelor,Botany
2,University of Karachi,1,32,BBA (H) - Business Administration,102000,null,Bachelor,Business Administration
2,University of Karachi,1,33,BE - Chemical,71000,60.55,Bachelor,Chemical Engineering
2,University of Karachi,1,34,BS - Chemistry,39000,72.82,Bachelor,Chemistry
2,University of Karachi,1,35,BS - Chinese,28500,null,Bachelor,Chinese
2,University of Karachi,1,36,BS - Commerce,42000,54.09,Bachelor,Commerce
2,University of Karachi,1,37,BS - Computational Mathematics,47500,50.18,Bachelor,Computational Mathematics
2,University of Karachi,1,38,BS - Computer Science,78500,77.91,Bachelor,Computer Science
2,University of Karachi,1,39,BA [HONS] - Criminology,53000,null,Bachelor,Criminology
2,University of Karachi,1,40,BS - Criminology,53000,54.73,Bachelor,Criminology
2,University of Karachi,1,41,B.DES - Design,null,null,Bachelor,Design
2,University of Karachi,1,42,BS - Economics,31000,66.45,Bachelor,Economics
2,University of Karachi,1,43,BS - Economics & Finance,31000,73.18,Bachelor,Economics
2,University of Karachi,1,44,BS - Education,31000,55.55,Bachelor,Education
2,University of Karachi,1,45,B.ED (HONS) - Education,31000,46,Bachelor,Education
2,University of Karachi,1,46,BS - Education [health & Physical],34500,60.91,Bachelor,Education
2,University of Karachi,1,47,BS - Education [special],31000,55.55,Bachelor,Education
